Uploaded Image URL,Author,"Author (Last, First)",Title,Subtitle,Genre,Rating,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Publisher,Status,Notes,Edition,Date Published,Length,Format,Dimensions,Weight,ISBN,Physical Location,Date Added,Date Started,Date Finished,Purchase Date,Purchase Place,Purchase Price,List Price,Google VolumeID,Favorites,Wish List,Category,Series,Volume,Quantity,Summary,Tags
,Reuven Firestone,"Firestone, Reuven",An Introduction to Islam for Jews,,Religion,0,,,,,Jewish Publication Society,Unread,,,,,,,,9780827608641,,2014/04/02,,,,,,,1cNwmAEACAAJ,0,0,,,,,,
,Chris Hankin,"Hankin, Chris",An Introduction to Lambda Calculi for Computer Scientists,,Computers,0,,,,,King's College Publications,Unread,,,,,,,,9780954300654,,2014/03/02,,,,,,,kzdmQgAACAAJ,0,0,,,,,,
,"Jesse Tilly, Eric M. Burke","Tilly, Jesse",Ant,The Definitive Guide,Computers,0,,,,,"""O'Reilly Media, Inc.""",Unread,,,,,,,,9780596001841,,2014/03/09,,,,,,,LZH44oPTxRgC,0,0,,,,,,
,Julie Klassen,"Klassen, Julie","Apothecary's Daughter, The",,Fiction,0,,,,,Baker Publishing Group,Unread,,,,,,,,9780764204807,,2014/03/26,,,,,,,9-kgmQEACAAJ,0,0,,,,,,
,Sidney Sheldon,"Sheldon, Sidney",Are You Afraid of the Dark?,,Fiction,0,,,,,HarperCollins,Unread,,,,,,,,9780061738036,,2014/03/09,,,,,,,zG9LzPTmNLgC,0,0,,,,,,
,Aaron James,"James, Aaron",Assholes,A Theory,Philosophy,0,,,,,Doubleday,Unread,,,,,,,,9780385535656,,2014/03/03,,,,,,,2cCRtgAACAAJ,0,0,,,,,,
,Nicholas Robert Michael De Lange,"Lange, Nicholas Robert Michael De",Atlas of the Jewish World,,History,0,,,,,Facts on File,Unread,,,,,,,,9780871960436,,2014/04/02,,,,,,,O9jJngEACAAJ,0,0,,,,,,
,Ayn Rand,"Rand, Ayn",Atlas Shrugged,,Fiction,0,,,,,Plume,Unread,,,,,,,,9780452011878,,2014/03/26,,,,,,,lzBpPwAACAAJ,0,0,,,,,,
,Jenny McCarthy,"McCarthy, Jenny",Baby Laughs,The Naked Truth about the First Year of Mommyhood,Family & Relationships,0,,,,,Penguin,Unread,,,,,,,,9780452287198,,2014/03/02,,,,,,,ZReHvflw_w8C,0,0,,,,,,
,Milton Steinberg,"Steinberg, Milton",Basic Judaism,,Religion,0,,,,,"Harcourt, Brace",Unread,,,,,,,,9780156106986,,2014/04/02,,,,,,,iBu5Tpc4DtcC,0,0,,,,,,
,Alan R. Miller,"Miller, Alan R.",BASIC programs for scientists and engineers,,BASIC (Computer program language),0,,,,,SYBEX,Unread,,,,,,,,9780895880734,,2014/03/02,,,,,,,Wf3uAAAAMAAJ,0,0,,,,,,
,"Andy Oram, Greg Wilson","Oram, Andy",Beautiful Code,Leading Programmers Explain How They Think,Computers,0,,,,,O'Reilly Media,Unread,,,,,,,,9780596510046,,2014/03/02,,,,,,,HKH3mgEACAAJ,0,0,,,,,,
,Agi Risko,"Risko, Agi",Beginner's Finnish,,Foreign Language Study,0,,,,,Hippocrene Books,Unread,,,,,,,,9780781810241,,2014/04/01,,,,,,,KvEvhHzjma0C,0,0,,,,,,
,Vita Daphna Arbel,"Arbel, Vita Daphna",Beholders of Divine Secrets,Mysticism and Myth in the Hekhalot and Merkavah Literature,Religion,0,,,,,SUNY Press,Unread,,,,,,,,9780791457245,,2014/03/03,,,,,,,75iOhA4iqpMC,0,0,,,,,,
,Ehud Ben-Yehuda,"Ben-Yehuda, Ehud",Ben-Yehuda's pocket English-Hebrew Hebrew-English dictionary,,,0,,,,,Pocket Books,Unread,,,,,,,,9780671782665,,2014/03/02,,,,,,,l-YH65rvFi0C,0,0,,,,,,
,Seamus Heaney,"Heaney, Seamus",Beowulf (Bilingual Edition),,Poetry,0,,,,,W. W. Norton & Company,Unread,,,,,,,,9780393320978,,2014/03/03,,,,,,,m-7crEM3A0AC,0,0,,,,,,
,"Rosemary Sassoon, Gunnlaugur S. E. Briem","Sassoon, Rosemary",Better Handwriting,,Language Arts & Disciplines,0,,,,,McGraw-Hill,Unread,,,,,,,,9780071419710,,2014/03/02,,,,,,,QJ0EAAAACAAJ,0,0,,,,,,
,Joseph Telushkin,"Telushkin, Joseph",Biblical Literacy,"The Most Important People, Events, and Ideas of the Hebrew Bible",Religion,0,,,,,HarperCollins,Unread,,,,,,,,9780688142971,,2014/03/03,,,,,,,0iFWlwEACAAJ,0,0,,,,,,
,John H. Painter,"Painter, John H.",Biology today,,Science,0,,,,,CRM Books,Unread,,,,,,,,9780876651230,,2014/03/02,,,,,,,vJFqAAAAMAAJ,0,0,,,,,,
,H.P. Lovecraft,"Lovecraft, H.P.",Bloodcurdling Tales of Horror and the Macabre: The Best of H. P. Lovecraft,,Fiction,0,,,,,Random House LLC,Unread,,,,,,,,9780345463296,,2014/04/01,,,,,,,fZRnpV521IcC,0,0,,,,,,
,Sidney Sheldon,"Sheldon, Sidney",Bloodline,,Fiction,0,,,,,Grand Central Publishing,Unread,,,,,,,,9780446357449,,2014/04/01,,,,,,,BPXp6b8d7YYC,0,0,,,,,,
,P. m,"m, P.",Bolo'Bolo,,Art,0,,,,,Autonomedia,Unread,,,,,,,,9781570272417,,2014/03/03,,,,,,,JsxNpwAACAAJ,0,0,,,,,,
